num_rotatable_bonds,count
0,604
1,1072
2,1665
3,1802
4,2181
5,1916
6,1724
7,1334
8,1074
9,708
10,496
11,410
12,397
13,308
14,272
15,216
16,178
17,132
18,133
19,107
20,103
21,106
22,90
23,81
24,79
25,87
26,57
27,76
28,60
29,79
30,72
31,49
32,60
33,56
34,57
35,49
36,69
37,55
38,42
39,51
40,30
41,35
42,52
43,29
44,28
45,30
46,35
47,44
48,29
49,26
50,21
51,20
52,15
53,18
54,11
55,8
56,9
57,18
58,20
59,15
60,14
61,17
62,4
63,15
64,11
65,7
66,2
67,6
68,5
69,6
70,7
71,2
72,1
73,10
75,1
76,5
77,4
78,2
79,2
80,1
81,1
90,1
