filepath,error_reason
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5ahu/5ahu_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4rxe/4rxe_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4qxs/4qxs_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3ryw/3ryw_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4y63/4y63_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6apu/6apu_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4bzr/4bzr_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5kap/5kap_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6oah/6oah_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5jmw/5jmw_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4xtx/4xtx_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4dxj/4dxj_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4xjr/4xjr_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4inr/4inr_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6hv5/6hv5_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4dhp/4dhp_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5g0q/5g0q_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6d16/6d16_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5aes/5aes_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4jzb/4jzb_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5dhr/5dhr_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4nzm/4nzm_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5dht/5dht_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4dhn/4dhn_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4ayt/4ayt_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6n83/6n83_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6n55/6n55_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6htd/6htd_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3zi0/3zi0_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4h5d/4h5d_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6d19/6d19_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5a3s/5a3s_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5vt4/5vt4_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5ygi/5ygi_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4u5t/4u5t_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3rj7/3rj7_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6d3q/6d3q_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5jc1/5jc1_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3wcg/3wcg_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3p3h/3p3h_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6apv/6apv_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6d1b/6d1b_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4dhm/4dhm_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3wyj/3wyj_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5knx/5knx_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4meo/4meo_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4y67/4y67_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/2y1d/2y1d_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3t01/3t01_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4jit/4jit_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5f2r/5f2r_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5jmp/5jmp_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4rhx/4rhx_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6d1a/6d1a_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6g22/6g22_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6hva/6hva_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5hh4/5hh4_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6r4v/6r4v_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4dhs/4dhs_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3p3j/3p3j_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6qfu/6qfu_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5g1n/5g1n_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5dhu/5dhu_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5k51/5k51_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5brn/5brn_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4rhy/4rhy_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/5knv/5knv_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/6mlh/6mlh_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3zhz/3zhz_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/3whw/3whw_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4h5c/4h5c_ligand.mol2,RDKit returned None
/home/noambarenholtz/summer_research/PDBbind/atoms/../PDBbind_Data/P-L/2011-2019/4jhq/4jhq_ligand.mol2,RDKit returned None
